district,state,sim1,sim2,sim3,sim4,sim5
mohla-manpur-ambagarh chouki,chhattisgarh,chatrapati sambhaji nagar (maharashtra),khairagarh chhuikhadan gandai (chhattisgarh),dharashiv (maharashtra),sarangarh-bilaigarh (chhattisgarh),jayashankar bhupalpally (telangana)
mungeli,chhattisgarh,bathinda (punjab),korba (chhattisgarh),bemetara (chhattisgarh),sangrur (punjab),washim (maharashtra)
narayanpur,chhattisgarh,pashchimi singhbhum (jharkhand),dhalai (tripura),south tripura (tripura),gomati (tripura),mahbubnagar (andhra pradesh)
raigarh,chhattisgarh,baloda bazar (chhattisgarh),satara (maharashtra),akola (maharashtra),janjgir-champa (chhattisgarh),raigarh (maharashtra)
raipur,chhattisgarh,satara (maharashtra),guntur (andhra pradesh),kolhapur (maharashtra),chittoor (andhra pradesh),krishna (andhra pradesh)
rajnandgaon,chhattisgarh,chandrapur (maharashtra),janjgir-champa (chhattisgarh),washim (maharashtra),durg (chhattisgarh),bemetara (chhattisgarh)
sakti,chhattisgarh,bapatla (andhra pradesh),warangal rural (telangana),rangareddy (telangana),jangoan (telangana),mancherial (telangana)
sarangarh-bilaigarh,chhattisgarh,dharashiv (maharashtra),khairagarh chhuikhadan gandai (chhattisgarh),sribhumi (assam),north dinajpur (west bengal),y. s. r (andhra pradesh)
sukma,chhattisgarh,jaisalmer (rajasthan),reasi (jammu and kashmir),sepahijala (tripura),ramgarh (jharkhand),koderma (jharkhand)
surajpur,chhattisgarh,alappuzha (kerala),kottayam (kerala),pathanamthitta (kerala),kalahandi (odisha),koraput (odisha)
surguja,chhattisgarh,mahasamund (chhattisgarh),north delhi (delhi),bangalore rural (karnataka),east delhi (delhi),south west delhi (delhi)
uttar bastar kanker,chhattisgarh,nalgonda (andhra pradesh),aizawl (mizoram),fatehgarh sahib (punjab),karimnagar (andhra pradesh),adilabad (andhra pradesh)
dadra and nagar haveli,dadra and nagar haveli and daman and diu,sonapur (odisha),the dangs (gujarat),medak (andhra pradesh),khordha (odisha),boudh (odisha)
daman,dadra and nagar haveli and daman and diu,mamit (mizoram),serchhip (mizoram),diu (dadra and nagar haveli and daman and diu),mammit (mizoram),south andaman (andaman and nicobar islands)
diu,dadra and nagar haveli and daman and diu,mammit (mizoram),andamans (andaman and nicobar islands),north and middle andaman (andaman and nicobar islands),daman (dadra and nagar haveli and daman and diu),karim nagar (andhra pradesh)
central delhi,delhi,lalitpur (uttar pradesh),ashok nagar (madhya pradesh),khammam (telangana),bundi (rajasthan),sabarkantha (gujarat)
east delhi,delhi,gurgaon (haryana),paschim medinipur (west bengal),nadia (west bengal),bankura (west bengal),puruliya (west bengal)
najafgarh,delhi,anjaw (arunachal pradesh),k.v. rangareddy (andhra pradesh),north sikkim (sikkim),dibang valley (arunachal pradesh),tirap (arunachal pradesh)
new delhi,delhi,north cachar hills (assam),baksa (assam),udalguri (assam),hailakandi (assam),thiruvallur (tamil nadu)
north delhi,delhi,haora (west bengal),east delhi (delhi),surguja (chhattisgarh),west midnapore (west bengal),south twenty four parganas (west bengal)
north east,delhi,the nilgiris (tamil nadu),pathanamthitta (kerala),rangareddi (andhra pradesh),nuapada (odisha),baleshwar (odisha)
north east ,delhi,kendrapara  (odisha),ramanagara (karnataka),shopian (jammu and kashmir),nabarangpur (odisha),24 paraganas south (west bengal)
north east delhi,delhi,palghar (maharashtra),katihar (bihar),ranchi (jharkhand),amroha (uttar pradesh),malappuram (kerala)
north west delhi,delhi,south delhi (delhi),jalgaon (maharashtra),solapur (maharashtra),chennai (tamil nadu),nanded (maharashtra)
shahdara,delhi,chengalpattu (tamil nadu),south salmara mankachar (assam),chhatrapati sambhajinagar (maharashtra),tirupati (andhra pradesh),darjiling (west bengal)
south delhi,delhi,tiruvallur (tamil nadu),north west delhi (delhi),vadodara (gujarat),chennai (tamil nadu),k.v. rangareddy (telangana)
south east delhi,delhi,ranipet (tamil nadu),raigarh(mh) (maharashtra),rangareddy (telangana),pandhurna (madhya pradesh),gaurela-pendra-marwahi (chhattisgarh)
south west delhi,delhi,hooghly (west bengal),balrampur (chhattisgarh),bankura (west bengal),surat (gujarat),kishanganj (bihar)
west delhi,delhi,faridabad (haryana),north 24 parganas (west bengal),paschim medinipur (west bengal),surat (gujarat),bankura (west bengal)
bardez,goa,mahabubnagar (andhra pradesh),hingoli  (maharashtra),lahaul and spiti (himachal pradesh),dhalai  (tripura),k.v. rangareddy (andhra pradesh)
north goa,goa,pithoragarh (uttarakhand),almora (uttarakhand),narmada (gujarat),shaheed bhagat singh nagar (punjab),south goa (goa)
south goa,goa,buldana (maharashtra),champawat (uttarakhand),fatehgarh sahib (punjab),shaheed bhagat singh nagar (punjab),barnala (punjab)
ahmadabad,gujarat,west garo hills (meghalaya),bijapur (chhattisgarh),kamrup metro (assam),dhemaji (assam),hailakandi (assam)
ahmedabad,gujarat,nashik (maharashtra),mumbai (maharashtra),aurangabad (maharashtra),malappuram (kerala),kancheepuram (tamil nadu)
amreli,gujarat,bellary (karnataka),kalaburagi (karnataka),viluppuram (tamil nadu),baramula (jammu and kashmir),bargarh (odisha)
anand,gujarat,villupuram (tamil nadu),mahesana (gujarat),singrauli (madhya pradesh),jamnagar (gujarat),belgaum (karnataka)
arvalli,gujarat,porbandar (gujarat),mahisagar (gujarat),vijayanagara (karnataka),devbhumi dwarka (gujarat),chamrajanagar (karnataka)
banas kantha,gujarat,sabar kantha (gujarat),east khasi hills (meghalaya),west jaintia hills (meghalaya),dohad (gujarat),east jaintia hills (meghalaya)
banaskantha,gujarat,chhatarpur (madhya pradesh),khargone (madhya pradesh),morena (madhya pradesh),gwalior (madhya pradesh),alwar (rajasthan)
bharuch,gujarat,nainital (uttarakhand),baramula (jammu and kashmir),junagadh (gujarat),virudhunagar (tamil nadu),hoshiarpur (punjab)
bhavnagar,gujarat,jabalpur (madhya pradesh),bhopal (madhya pradesh),sagar (madhya pradesh),satna (madhya pradesh),dehradun (uttarakhand)
botad,gujarat,agar malwa (madhya pradesh),gir somnath (gujarat),devbhumi dwarka (gujarat),umaria (madhya pradesh),doda (jammu and kashmir)
chhotaudepur,gujarat,chirang (assam),kokrajhar (assam),baksa (assam),udalguri (assam),datia (madhya pradesh)
dahod,gujarat,churu (rajasthan),etah (uttar pradesh),shivpuri (madhya pradesh),hapur (uttar pradesh),bharatpur (rajasthan)
dang,gujarat,s.a.s nagar (punjab),dinajpur dakshin (west bengal),24 paraganas south (west bengal),nabarangpur (odisha),shopian (jammu and kashmir)
devbhumi dwarka,gujarat,mahisagar (gujarat),agar malwa (madhya pradesh),arvalli (gujarat),porbandar (gujarat),vijayanagara (karnataka)
dohad,gujarat,east khasi hills (meghalaya),west garo hills (meghalaya),west jaintia hills (meghalaya),west karbi anglong (assam),sabar kantha (gujarat)
gandhinagar,gujarat,viluppuram (tamil nadu),mahesana (gujarat),bargarh (odisha),dharmapuri (tamil nadu),singrauli (madhya pradesh)
gir somnath,gujarat,umaria (madhya pradesh),botad (gujarat),hojai (assam),doda (jammu and kashmir),dibrugarh (assam)
jamnagar,gujarat,mahesana (gujarat),hoshangabad (madhya pradesh),anand (gujarat),koppal (karnataka),kalaburagi (karnataka)
junagadh,gujarat,sidhi (madhya pradesh),nizamabad (telangana),seoni (madhya pradesh),panipat (haryana),davangere (karnataka)
kachchh,gujarat,sikar (rajasthan),bhilwara (rajasthan),amroha (uttar pradesh),pali (rajasthan),dhar (madhya pradesh)
kheda,gujarat,raisen (madhya pradesh),shajapur (madhya pradesh),medak (telangana),dehradun (uttarakhand),panchmahals (gujarat)
mahesana,gujarat,villupuram (tamil nadu),singrauli (madhya pradesh),shajapur (madhya pradesh),belgaum (karnataka),jamnagar (gujarat)
mahisagar,gujarat,arvalli (gujarat),devbhumi dwarka (gujarat),porbandar (gujarat),vijayanagara (karnataka),kapurthala (punjab)
morbi,gujarat,hojai (assam),dibrugarh (assam),bijapur (chhattisgarh),hailakandi (assam),kamrup (assam)
narmada,gujarat,rupnagar (punjab),chamoli (uttarakhand),solan (himachal pradesh),barnala (punjab),north goa (goa)
navsari,gujarat,mahendragarh (haryana),mysore (karnataka),shivamogga (karnataka),tumakuru (karnataka),tumkur (karnataka)
panch mahals,gujarat,east jaintia hills (meghalaya),south west garo hills (meghalaya),surendranagar (gujarat),south west khasi hills (meghalaya),sabar kantha (gujarat)
panchmahals,gujarat,baleswar (odisha),sehore (madhya pradesh),medak (telangana),balangir (odisha),raisen (madhya pradesh)
patan,gujarat,panna (madhya pradesh),katni (madhya pradesh),burhanpur (madhya pradesh),barpeta (assam),yadgir (karnataka)
porbandar,gujarat,arvalli (gujarat),vijayanagara (karnataka),mahisagar (gujarat),kathua (jammu and kashmir),udhampur (jammu and kashmir)
rajkot,gujarat,indore (madhya pradesh),ludhiana (punjab),hyderabad (telangana),barddhaman (west bengal),ajmer (rajasthan)
sabar kantha,gujarat,east jaintia hills (meghalaya),west karbi anglong (assam),west jaintia hills (meghalaya),banas kantha (gujarat),dohad (gujarat)
sabarkantha,gujarat,bhadrak (odisha),ganganagar (rajasthan),ashok nagar (madhya pradesh),hyderabad (andhra pradesh),pudukkottai (tamil nadu)
surat,gujarat,west delhi (delhi),north 24 parganas (west bengal),faridabad (haryana),hooghly (west bengal),bankura (west bengal)
surendra nagar,gujarat,jhunjhunun (rajasthan),garhwa (jharkhand),narsinghpur (madhya pradesh),ashok nagar (madhya pradesh),kota (rajasthan)
surendranagar,gujarat,south west khasi hills (meghalaya),ri bhoi (meghalaya),south west garo hills (meghalaya),panch mahals (gujarat),east garo hills (meghalaya)
tapi,gujarat,shivamogga (karnataka),ballari (karnataka),chamrajanagar (karnataka),navsari (gujarat),mysore (karnataka)
the dangs,gujarat,dakshin bastar dantewada (chhattisgarh),sonapur (odisha),dadra and nagar haveli (dadra and nagar haveli and daman and diu),khordha (odisha),uttarkashi (uttarakhand)
vadodara,gujarat,amritsar (punjab),k.v. rangareddy (telangana),barddhaman (west bengal),rajgarh (madhya pradesh),ajmer (rajasthan)
valsad,gujarat,raichur (karnataka),yadgir (karnataka),dewas (madhya pradesh),vidisha (madhya pradesh),raisen (madhya pradesh)
ambala,haryana,jhajjar (haryana),rohtak (haryana),jind (haryana),bhiwani (haryana),mandya (karnataka)
bhiwani,haryana,yamuna nagar (haryana),karnal (haryana),kaithal (haryana),jind (haryana),ambala (haryana)
charkhi dadri,haryana,rajanna sircilla (telangana),bangalore rural (karnataka),palwal (haryana),jagitial (telangana),malerkotla (punjab)
faridabad,haryana,west delhi (delhi),paschim medinipur (west bengal),bankura (west bengal),north 24 parganas (west bengal),birbhum (west bengal)
fatehabad,haryana,kurukshetra (haryana),kaithal (haryana),yamuna nagar (haryana),kanniyakumari (tamil nadu),sirsa (haryana)
gurgaon,haryana,dakshin dinajpur (west bengal),east delhi (delhi),sangareddy (telangana),puruliya (west bengal),bhadradri kothagudem (telangana)
gurugram,haryana,spsr nellore (andhra pradesh),dinajpur dakshin (west bengal),nuh (haryana),gaurella pendra marwahi (chhattisgarh),dang (gujarat)
hisar,haryana,sonipat (haryana),anantapur (andhra pradesh),karnal (haryana),dharwad (karnataka),haveri (karnataka)
jhajjar,haryana,ambala (haryana),hassan (karnataka),mandi (himachal pradesh),rewari (haryana),tumkur (karnataka)
jhajjar ,haryana,namakkal  (tamil nadu),mangan (sikkim),pherzawl (manipur),kamrup (meghalaya),ahmednagar (maharashtra)
jind,haryana,kangra (himachal pradesh),karnal (haryana),ambala (haryana),bhiwani (haryana),yamuna nagar (haryana)
kaithal,haryana,yamuna nagar (haryana),fatehabad (haryana),kurukshetra (haryana),bhiwani (haryana),jind (haryana)
karnal,haryana,jind (haryana),bhiwani (haryana),ambala (haryana),hisar (haryana),kangra (himachal pradesh)
kurukshetra,haryana,fatehabad (haryana),kaithal (haryana),kanniyakumari (tamil nadu),yamuna nagar (haryana),jhajjar (haryana)
mahendragarh,haryana,navsari (gujarat),tumkur (karnataka),mysore (karnataka),rohtak (haryana),tumakuru (karnataka)
mewat,haryana,belagavi (karnataka),mandsaur (madhya pradesh),dakshina kannada (karnataka),bagalkot (karnataka),gadag (karnataka)
nuh,haryana,dang (gujarat),gurugram (haryana),s.a.s nagar (punjab),dinajpur dakshin (west bengal),24 paraganas south (west bengal)
palwal,haryana,bangalore rural (karnataka),mumbai city (maharashtra),chandigarh (chandigarh),chitradurga (karnataka),kolar (karnataka)
panchkula,haryana,rupnagar (punjab),narmada (gujarat),barnala (punjab),ferozepur (punjab),buldana (maharashtra)
panipat,haryana,seoni (madhya pradesh),dakshina kannada (karnataka),junagadh (gujarat),nizamabad (telangana),chitradurga (karnataka)
rewari,haryana,hassan (karnataka),jhajjar (haryana),tumkur (karnataka),dindori (madhya pradesh),srinagar (jammu and kashmir)
rohtak,haryana,tumkur (karnataka),mandya (karnataka),ambala (haryana),mahendragarh (haryana),karnal (haryana)
sirsa,haryana,ananthapuramu (andhra pradesh),yamuna nagar (haryana),bhiwani (haryana),fatehabad (haryana),kaithal (haryana)
sonipat,haryana,haveri (karnataka),hisar (haryana),dharwad (karnataka),anantapur (andhra pradesh),mandya (karnataka)
yamuna nagar,haryana,kaithal (haryana),bhiwani (haryana),fatehabad (haryana),jind (haryana),sirsa (haryana)
yamunanagar,haryana,lahul and spiti (himachal pradesh),haveri  (karnataka),andamans (andaman and nicobar islands),niwari (madhya pradesh),dhalai  (tripura)
bilaspur,himachal pradesh,hamirpur (himachal pradesh),una (himachal pradesh),pondicherry (puducherry),sirmaur (himachal pradesh),chamba (himachal pradesh)
chamba,himachal pradesh,sirmaur (himachal pradesh),pulwama (jammu and kashmir),puducherry (puducherry),una (himachal pradesh),hassan (karnataka)
hamirpur,himachal pradesh,bilaspur (himachal pradesh),una (himachal pradesh),sirmaur (himachal pradesh),chamba (himachal pradesh),pondicherry (puducherry)
kangra,himachal pradesh,jind (haryana),ambala (haryana),mandya (karnataka),karnal (haryana),rohtak (haryana)
kinnaur,himachal pradesh,nawanshahr (punjab),niwari (madhya pradesh),baudh (odisha),karim nagar (andhra pradesh),nicobar (andaman and nicobar islands)
kullu,himachal pradesh,chickmagalur (karnataka),alluri sitharama raju (andhra pradesh),chikkamagaluru (karnataka),kodagu (karnataka),debagarh (odisha)
lahaul and spiti,himachal pradesh,east midnapur (west bengal),tirupathur (tamil nadu),bardez (goa),rupnagar (chandigarh),mahabubnagar (andhra pradesh)
lahul and spiti,himachal pradesh,yamunanagar (haryana),andamans (andaman and nicobar islands),haveri  (karnataka),niwari (madhya pradesh),karim nagar (andhra pradesh)
mandi,himachal pradesh,jhajjar (haryana),ambala (haryana),kaithal (haryana),kurukshetra (haryana),jind (haryana)
shimla,himachal pradesh,pauri garhwal (uttarakhand),almora (uttarakhand),perambalur (tamil nadu),pithoragarh (uttarakhand),puducherry (puducherry)
sirmaur,himachal pradesh,chamba (himachal pradesh),pulwama (jammu and kashmir),puducherry (puducherry),una (himachal pradesh),jharsuguda (odisha)
solan,himachal pradesh,pathankot (punjab),chamoli (uttarakhand),puducherry (puducherry),jharsuguda (odisha),narmada (gujarat)
una,himachal pradesh,bilaspur (himachal pradesh),chamba (himachal pradesh),sirmaur (himachal pradesh),hamirpur (himachal pradesh),solan (himachal pradesh)
anantnag,jammu and kashmir,chikkaballapur (karnataka),ballari (karnataka),ramanagar (karnataka),kathua (jammu and kashmir),jagatsinghapur (odisha)
badgam,jammu and kashmir,vijayanagara (karnataka),tenkasi (tamil nadu),arvalli (gujarat),porbandar (gujarat),chamrajanagar (karnataka)
bandipore,jammu and kashmir,boudh (odisha),harda (madhya pradesh),medak (andhra pradesh),kishtwar (jammu and kashmir),jajpur (odisha)
bandipur,jammu and kashmir,bokaro  (jharkhand),udupi  (karnataka),burdwan (west bengal),tiruvarur (tamil nadu),bijapur(kar) (karnataka)
baramula,jammu and kashmir,bellary (karnataka),amreli (gujarat),puri (odisha),ramanagar (karnataka),bharuch (gujarat)
budgam,jammu and kashmir,barnala (punjab),rupnagar (punjab),bageshwar (uttarakhand),narmada (gujarat),panchkula (haryana)
doda,jammu and kashmir,nalbari (assam),umaria (madhya pradesh),yadgir (karnataka),gir somnath (gujarat),patan (gujarat)
ganderbal,jammu and kashmir,jagatsinghpur (odisha),kodagu (karnataka),chikkamagaluru (karnataka),chickmagalur (karnataka),debagarh (odisha)
jammu,jammu and kashmir,nagapattinam (tamil nadu),kendrapara (odisha),kendujhar (odisha),sivaganga (tamil nadu),thiruvarur (tamil nadu)
kargil,jammu and kashmir,kargil (ladakh),saiha (mizoram),thiruvallur (tamil nadu),majuli (assam),chittaurgarh (rajasthan)
kathua,jammu and kashmir,jagatsinghapur (odisha),ballari (karnataka),udhampur (jammu and kashmir),chamrajanagar (karnataka),chikkaballapur (karnataka)
kishtwar,jammu and kashmir,boudh (odisha),medak (andhra pradesh),khordha (odisha),dadra and nagar haveli (dadra and nagar haveli and daman and diu),sonapur (odisha)
kulgam,jammu and kashmir,baleshwar (odisha),purbi singhbhum (jharkhand),khordha (odisha),wayanad (kerala),medak (andhra pradesh)
kupwara,jammu and kashmir,kandhamal (odisha),angul (odisha),sas nagar (mohali) (punjab),sambalpur (odisha),puri (odisha)
leh,jammu and kashmir,anugul (odisha),nandurbar  (maharashtra),garhwa  (jharkhand),mumbai( sub urban ) (maharashtra),s.a.s nagar(mohali) (punjab)
leh (ladakh),jammu and kashmir,bijapur(kar) (karnataka),tiruvarur (tamil nadu),burdwan (west bengal),hingoli  (maharashtra),udupi  (karnataka)
pulwama,jammu and kashmir,kanyakumari (tamil nadu),shivamogga (karnataka),sirmaur (himachal pradesh),chamba (himachal pradesh),mahendragarh (haryana)
punch,jammu and kashmir,rajouri (jammu and kashmir),rayagada (odisha),kasaragod (kerala),jajpur (odisha),nuapada (odisha)
rajauri,jammu and kashmir,tuticorin (tamil nadu),niuland (nagaland),sheikpura (bihar),leparada (arunachal pradesh),pakke kessang (arunachal pradesh)
rajouri,jammu and kashmir,punch (jammu and kashmir),rayagada (odisha),kasaragod (kerala),nuapada (odisha),kottayam (kerala)
ramban,jammu and kashmir,reasi (jammu and kashmir),sepahijala (tripura),lohardaga (jharkhand),mahabub nagar (andhra pradesh),sukma (chhattisgarh)
reasi,jammu and kashmir,sepahijala (tripura),ramban (jammu and kashmir),sukma (chhattisgarh),mahabub nagar (andhra pradesh),lohardaga (jharkhand)
samba,jammu and kashmir,jagatsinghpur (odisha),ganderbal (jammu and kashmir),debagarh (odisha),parvathipuram manyam (andhra pradesh),nizamabad (andhra pradesh)
shopian,jammu and kashmir,24 paraganas south (west bengal),nabarangpur (odisha),s.a.s nagar (punjab),sivasagar (assam),dang (gujarat)
shupiyan,jammu and kashmir,sundargarh (odisha),dantewada (chhattisgarh),karimnagar (andhra pradesh),lunglei (mizoram),kulgam (jammu and kashmir)
srinagar,jammu and kashmir,tarn taran (punjab),tumkur (karnataka),hoshiarpur (punjab),anuppur (madhya pradesh),anantapur (andhra pradesh)
udhampur,jammu and kashmir,ramanagar (karnataka),kathua (jammu and kashmir),ballari (karnataka),jagatsinghapur (odisha),anantnag (jammu and kashmir)
bokaro,jharkhand,sonbhadra (uttar pradesh),west singhbhum (jharkhand),godda (jharkhand),auraiya (uttar pradesh),faizabad (uttar pradesh)
bokaro ,jharkhand,udupi  (karnataka),burdwan (west bengal),bandipur (jammu and kashmir),tiruvarur (tamil nadu),bijapur(kar) (karnataka)
chatra,jharkhand,chitrakoot (uttar pradesh),kasganj (uttar pradesh),khagaria (bihar),baghpat (uttar pradesh),sahebganj (jharkhand)
deoghar,jharkhand,sheopur (madhya pradesh),baghpat (uttar pradesh),banka (bihar),khagaria (bihar),kanpur dehat (uttar pradesh)
dhanbad,jharkhand,muzaffarnagar (uttar pradesh),dhule (maharashtra),begusarai (bihar),rae bareli (uttar pradesh),darbhanga (bihar)
dumka,jharkhand,farrukhabad (uttar pradesh),kannauj (uttar pradesh),mirzapur (uttar pradesh),sant kabir nagar (uttar pradesh),jalaun (uttar pradesh)
east singhbhum,jharkhand,kota (rajasthan),nandurbar (maharashtra),pudukkottai (tamil nadu),garhwa (jharkhand),jhunjhunun (rajasthan)
east singhbum,jharkhand,spsr nellore (andhra pradesh),medchal malkajgiri (telangana),gaurella pendra marwahi (chhattisgarh),ashoknagar (madhya pradesh),kushi nagar (uttar pradesh)
garhwa,jharkhand,ashok nagar (madhya pradesh),baran (rajasthan),pudukkottai (tamil nadu),surendra nagar (gujarat),east singhbhum (jharkhand)
garhwa ,jharkhand,mumbai( sub urban ) (maharashtra),harda  (madhya pradesh),subarnapur (odisha),s.a.s nagar(mohali) (punjab),anugul (odisha)
giridih,jharkhand,kolkata (west bengal),firozabad (uttar pradesh),ghaziabad (uttar pradesh),bhagalpur (bihar),rampur (uttar pradesh)
godda,jharkhand,bokaro (jharkhand),faizabad (uttar pradesh),hathras (uttar pradesh),west singhbhum (jharkhand),kaushambi (uttar pradesh)
gumla,jharkhand,hathras (uttar pradesh),chittorgarh (rajasthan),etawah (uttar pradesh),kaushambi (uttar pradesh),faizabad (uttar pradesh)
hazaribag,jharkhand,bid (maharashtra),pakaur (jharkhand),east (sikkim),biswanath (assam),charaideo (assam)
hazaribagh,jharkhand,nabarangapur (odisha),shamli (uttar pradesh),chittorgarh (rajasthan),sawai madhopur (rajasthan),jhansi (uttar pradesh)
jamtara,jharkhand,khandwa (madhya pradesh),datia (madhya pradesh),sawai madhopur (rajasthan),narsinghpur (madhya pradesh),bundi (rajasthan)
khunti,jharkhand,jaisalmer (rajasthan),hamirpur (uttar pradesh),auraiya (uttar pradesh),jalaun (uttar pradesh),chitrakoot (uttar pradesh)
kodarma,jharkhand,east sikkim (sikkim),west kameng (arunachal pradesh),east (sikkim),purnea (bihar),east kameng (arunachal pradesh)
koderma,jharkhand,sheohar (bihar),lohardaga (jharkhand),ramgarh (jharkhand),sukma (chhattisgarh),mahoba (uttar pradesh)
latehar,jharkhand,mahoba (uttar pradesh),ramgarh (jharkhand),hamirpur (uttar pradesh),south tripura (tripura),jaisalmer (rajasthan)
lohardaga,jharkhand,koderma (jharkhand),ramban (jammu and kashmir),rajsamand (rajasthan),mahoba (uttar pradesh),sheohar (bihar)
pakaur,jharkhand,jhunjhunu (rajasthan),palamau (jharkhand),hazaribag (jharkhand),paschim bardhaman (west bengal),maldah (west bengal)
pakur,jharkhand,kolkata (west bengal),darjeeling (west bengal),firozabad (uttar pradesh),giridih (jharkhand),rampur (uttar pradesh)
palamau,jharkhand,hardwar (uttarakhand),pakaur (jharkhand),jhunjhunu (rajasthan),peddapalli (telangana),gaurela-pendra-marwahi (chhattisgarh)
palamu,jharkhand,kota (rajasthan),mayurbhanj (odisha),jhunjhunun (rajasthan),pudukkottai (tamil nadu),east singhbhum (jharkhand)
pashchimi singhbhum,jharkhand,narayanpur (chhattisgarh),dhalai (tripura),east (sikkim),kodarma (jharkhand),west kameng (arunachal pradesh)
purbi singhbhum,jharkhand,khordha (odisha),kulgam (jammu and kashmir),dakshin bastar dantewada (chhattisgarh),boudh (odisha),medak (andhra pradesh)
ramgarh,jharkhand,mahoba (uttar pradesh),koderma (jharkhand),sheohar (bihar),jaisalmer (rajasthan),latehar (jharkhand)
ranchi,jharkhand,barmer (rajasthan),pilibhit (uttar pradesh),nagaur (rajasthan),north east delhi (delhi),araria (bihar)
sahebganj,jharkhand,etawah (uttar pradesh),hathras (uttar pradesh),chatra (jharkhand),faizabad (uttar pradesh),chitrakoot (uttar pradesh)
sahibganj,jharkhand,jhunjhunu (rajasthan),south (sikkim),hazaribag (jharkhand),pakaur (jharkhand),biswanath (assam)
seraikela-kharsawan,jharkhand,pratapgarh (rajasthan),rajsamand (rajasthan),lalitpur (uttar pradesh),khammam (telangana),dausa (rajasthan)
simdega,jharkhand,north tripura (tripura),koriya (chhattisgarh),west tripura (tripura),pathanamthitta (kerala),the nilgiris (tamil nadu)
west singhbhum,jharkhand,bokaro (jharkhand),jhansi (uttar pradesh),godda (jharkhand),bara banki (uttar pradesh),kaushambi (uttar pradesh)
bagalkot,karnataka,koppal (karnataka),jamnagar (gujarat),mandsaur (madhya pradesh),hoshangabad (madhya pradesh),bhavnagar (gujarat)
bagalkot ,karnataka,chamarajanagar (karnataka),s.a.s nagar(mohali) (punjab),chamrajnagar (karnataka),chittaurgarh (rajasthan),kasargod (kerala)
ballari,karnataka,kathua (jammu and kashmir),chikkaballapur (karnataka),jagatsinghapur (odisha),anantnag (jammu and kashmir),chamrajanagar (karnataka)
bangalore,karnataka,erode (tamil nadu),tiruppur (tamil nadu),thanjavur (tamil nadu),thoothukkudi (tamil nadu),nalgonda (telangana)
bangalore rural,karnataka,palwal (haryana),mumbai city (maharashtra),charkhi dadri (haryana),chandigarh (chandigarh),surguja (chhattisgarh)
belagavi,karnataka,mewat (haryana),mandsaur (madhya pradesh),dakshina kannada (karnataka),bagalkot (karnataka),koppal (karnataka)
belgaum,karnataka,singrauli (madhya pradesh),villupuram (tamil nadu),mahesana (gujarat),dharmapuri (tamil nadu),anand (gujarat)
bellary,karnataka,amreli (gujarat),kalaburagi (karnataka),baramula (jammu and kashmir),viluppuram (tamil nadu),karur (tamil nadu)
bengaluru,karnataka,hyderabad (telangana),indore (madhya pradesh),rajkot (gujarat),jaipur (rajasthan),ludhiana (punjab)
bengaluru rural,karnataka,gurugram (haryana),eastern west khasi hills (meghalaya),spsr nellore (andhra pradesh),dinajpur dakshin (west bengal),gaurella pendra marwahi (chhattisgarh)
bengaluru south,karnataka,pherzawl (manipur),deeg (rajasthan),tamulpur district (assam),shamator (nagaland),aurangabad(bh) (bihar)
bengaluru urban,karnataka,dinajpur uttar (west bengal),24 paraganas north (west bengal),gurugram (haryana),coochbehar (west bengal),spsr nellore (andhra pradesh)
bidar,karnataka,balangir (odisha),baleswar (odisha),thiruvarur (tamil nadu),kendujhar (odisha),bargarh (odisha)
bijapur,karnataka,narsinghpur (madhya pradesh),ashok nagar (madhya pradesh),sabarkantha (gujarat),central delhi (delhi),thiruvarur (tamil nadu)
bijapur(kar),karnataka,leh (ladakh) (jammu and kashmir),tiruvarur (tamil nadu),burdwan (west bengal),udupi  (karnataka),bokaro  (jharkhand)
chamarajanagar,karnataka,chamrajnagar (karnataka),chikmagalur (karnataka),bagalkot  (karnataka),gadag  (karnataka),s.a.s nagar(mohali) (punjab)
chamarajanagar ,karnataka,janjgir - champa (chhattisgarh),leh (ladakh) (jammu and kashmir),bijapur(kar) (karnataka),burdwan (west bengal),udupi  (karnataka)
chamrajanagar,karnataka,ballari (karnataka),kathua (jammu and kashmir),shimoga (karnataka),tapi (gujarat),jagatsinghapur (odisha)
chamrajnagar,karnataka,chamarajanagar (karnataka),bagalkot  (karnataka),mayiladuthurai (tamil nadu),chikmagalur (karnataka),davanagere (karnataka)
chickmagalur,karnataka,kullu (himachal pradesh),alluri sitharama raju (andhra pradesh),kodagu (karnataka),chikkamagaluru (karnataka),pondicherry (puducherry)
chikkaballapur,karnataka,anantnag (jammu and kashmir),ballari (karnataka),kathua (jammu and kashmir),jagatsinghapur (odisha),mysore (karnataka)
chikkamagaluru,karnataka,alluri sitharama raju (andhra pradesh),kodagu (karnataka),tirupattur (tamil nadu),kullu (himachal pradesh),chickmagalur (karnataka)
chikmagalur,karnataka,gadag  (karnataka),chamarajanagar (karnataka),haveri  (karnataka),bagalkot  (karnataka),chamrajnagar (karnataka)
chitradurga,karnataka,kolar (karnataka),mandla (madhya pradesh),davangere (karnataka),dharwad (karnataka),haveri (karnataka)
dakshina kannada,karnataka,panipat (haryana),mewat (haryana),belagavi (karnataka),mandsaur (madhya pradesh),seoni (madhya pradesh)
davanagere,karnataka,mayiladuthurai (tamil nadu),jagatsinghpur (odisha),samba (jammu and kashmir),narmadapuram (madhya pradesh),s.a.s nagar(mohali) (punjab)
